kirklareli,#28bd7e
edirne,#cd34e5
sinop,#dcf556
kastamonu,#287abd
istanbul,#56f55c
tekirdag,#5928bd
artvin,#e5a134
samsun,#56f5e7
zonguldak,#8de534
rize,#bd3428
kars,#34e575
kocaeli,#bf56f5
corum,#bdb628
sakarya,#34bae5
ordu,#42bd28
trabzon,#4934e5
erzurum,#f59856
cankiri,#28bd91
bolu,#e434e5
amasya,#c8f556
giresun,#2867bd
tokat,#e5344b
gumushane,#6c28bd
balikesir,#e5b834
bursa,#56eff5
canakkale,#bd288c
ankara,#77e534
bilecik,#5664f5
sivas,#34e58c
eskisehir,#34a3e5
agri,#f5568c
yozgat,#2fbd28
erzincan,#6034e5
kutahya,#f5ac56
kirsehir,#28bda4
izmir,#e534cf
manisa,#b3f556
tunceli,#2854bd
van,#e53434
mus,#56f584
bingol,#7f28bd
nevsehir,#e5ce34
afyonkarahisar,#56dbf5
kayseri,#bd2879
konya,#60e534
elazig,#5d56f5
bitlis,#bd5a28
malatya,#34e5a2
usak,#e856f5
diyarbakir,#348ce5
denizli,#28bd35
kahramanmaras,#7634e5
isparta,#f5c056
nigde,#28bdb7
siirt,#e534b8
adana,#9ff556
aydin,#2841bd
adiyaman,#e54a34
hakkari,#56f599
sanliurfa,#9228bd
burdur,#56c7f5
mugla,#bd2866
mardin,#4ae534
gaziantep,#34e5b9
antalya,#f556ee
mersin,#8bbd28
hatay,#f55663
